sysload util
72.3722 70.7052
75.3589 70.8309
82.3486 71.3955
77.9933 70.0742
78.3069 69.1064
78.8952 70.0481
80.8774 69.7585
82.8313 69.0779
83.4353 69.7922
79.9886 68.0416
81.5385 70.605
81.3682 70.6161
79.2763 69.6461
82.2551 70.783
82.0963 69.3084
78.7378 72.0359
80.5782 69.7961
78.7485 70.245
85.5752 72.4192
87.5087 73.5155
